Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Login,Chrome 93.0.4577.82,,,2021-09-28 23:09:43,2021-09-28 23:10:11,28.356s,FAILED
,,,,,,,
Test Cases/TC - Login,Chrome 93.0.4577.82,,,2021-09-28 23:09:45,2021-09-28 23:10:11,26.443s,FAILED
"openBrowser(""https://www.phptravels.net/"")",Chrome 93.0.4577.82,,,2021-09-28 23:09:46,2021-09-28 23:09:56,10.032s,PASSED
maximizeWindow(),Chrome 93.0.4577.82,,,2021-09-28 23:09:56,2021-09-28 23:09:56,0.603s,PASSED
"click(findTestObject(""Page_PHPTRAVEL - PHPTRAVEL/a_Login""))",Chrome 93.0.4577.82,,,2021-09-28 23:09:56,2021-09-28 23:09:58,1.878s,PASSED
"setText(findTestObject(""Page_Login - PHPTRAVEL/input_Email_email""), Username)",Chrome 93.0.4577.82,,,2021-09-28 23:09:58,2021-09-28 23:09:59,0.452s,PASSED
"setText(findTestObject(""Page_Login - PHPTRAVEL/input_Password_password""), Password)",Chrome 93.0.4577.82,,,2021-09-28 23:09:59,2021-09-28 23:09:59,0.365s,PASSED
"click(findTestObject(""Page_Login - PHPTRAVEL/button_Login""))",Chrome 93.0.4577.82,,,2021-09-28 23:09:59,2021-09-28 23:09:59,0.291s,PASSED
acceptAlert(),Chrome 93.0.4577.82,,,2021-09-28 23:09:59,2021-09-28 23:10:01,2.016s,FAILED
